global_source_id,citation_key,title,author_or_institution,publication_date,represented_date_range,map_scale_if_known,geographic_scope,licence_or_usage_note,source_url,local_path,authority_level,historicity_of_source,exact_locator,georeference_status,notes
hsrc_1934f8f4d778,charles_v_privilege_1530_malta_gozo,"Privilege of Emperor Charles V, 23 March 1530, granting Malta and Gozo and the fortress of Tripoli to the Order of Saint John","Charles V; critical study by Aleksander Cieslak, Roczniki Humanistyczne 50/2 (2002)",2002,1530-1798,,Maltese islands and Tripoli,"Public institutional source / documentary edition; cited, not redistributed.",https://ojs.tnkul.pl/index.php/rh/article/view/4703,,PRIMARY_INSTRUMENT_VIA_CRITICAL_STUDY,PRIMARY_RECORD_DESCRIPTION,"the enumerated grant: the islands of Malta and Gozo, held as fiefs of the Kingdom of Sicily, and the fortress of Tripoli",NOT_APPLICABLE,"Cited for WHICH territories the instrument enumerates. That is the whole point: Gozo is named, Comino is not."
hsrc_455c4d5a91ef,aom_national_library_of_malta,"Archives of the Order of Malta (AOM), National Library of Malta, Valletta",National Library of Malta; series inventory by the Hill Museum & Manuscript Library,2026,1346-1798,,"Order of Saint John, Maltese islands","Public institutional source / documentary edition; cited, not redistributed.",https://hmml.org/collections/repositories/malta/national-library-of-malta/,,ARCHIVAL_FONDS,PRIMARY_RECORD_DESCRIPTION,per-assertion AOM section and volume range,NOT_APPLICABLE,"The Order's own government records, surviving as series whose date ranges span the snapshot."
hsrc_85ec23a20d58,malta_government_printing_press_history,"Press History, Department of Information / Government Printing Press, Government of Malta",Government of Malta,2026,1642-1800,,Maltese islands,"Public institutional source / documentary edition; cited, not redistributed.",https://printingpress.gov.mt/en/the-department/press-history/,,GOVERNMENT_INSTITUTIONAL_HISTORY,PRIMARY_RECORD_DESCRIPTION,the 1756 paragraphs of the Development of Printing section,NOT_APPLICABLE,"Used only for the dated 1756 act of the Order's government on the island, not for any geometry."
hsrc_4c13f0498990,lerouge_1756_atlas_portatif_espagne_portugal,"Georges-Louis Le Rouge, Atlas nouveau portatif a l'usage des militaires, colleges et du voyageur, Tome 1er, plate: Espagne et Portugal (Paris 1756)","Georges-Louis Le Rouge; published by Le Rouge, Prault fils, la Veuve Robinot and Briasson, Paris",1756,1756-1756,about 1:3 000 000 (whole peninsula on one 25 x 21 cm atlas plate),Iberian peninsula and southern France,"Public domain (Creative Commons Public Domain Mark 1.0 on Wikimedia Commons; digitised by Polona from the National Library in Warsaw). The Commons record states Copyrighted=False, AttributionRequired=False and carries no restrictions, so commercial reuse is not impeded. NOT David Rumsey and NOT Gallica/BnF, whose reuse terms were excluded for this stage.","https://commons.wikimedia.org/wiki/File:Atlas_nouveau_portatif_a_l%27usage_des_militaires,_colleges_et_du_voyageur._Tome_1_1756_(106354248).jpg",data/raw/polona_le_rouge_1756_atlas_portatif/le_rouge_1756_plate_106354248.jpg (GITIGNORED),BOUNDARY_AUTHORITY_CANDIDATE,CONTEMPORARY_TO_SNAPSHOT,"plate 106354248 of the atlas, native raster 6340 x 4858 px; engraved face x 232-6022, y 262-4630",GEOREFERENCED_MAPGEN_026,MAPGEN-026 Iberian mainland safe-interior production
hsrc_ea6236627f6a,gaceta_de_madrid_1756_08_03_num31,"Gaceta de Madrid, num. 31, martes 3 de agosto de 1756, pp. 241-248","Imprenta de la Gaceta, calle de Alcala, Madrid, con privilegio",1756,1756-1756,,Kingdom of Spain,"Coleccion historica de la Gazeta, Boletin Oficial del Estado; free public access.",https://www.boe.es/gazeta/dias/1756/08/03/pdfs/GMD-1756-31.pdf,,PRIMARY_INSTRUMENT,CONTEMPORARY_TO_SNAPSHOT,"p. 247, Madrid dateline: 'Madrid 3. de Agosto de 1756. LOS Reyes nuestros Senores, que continuan en disfrutar perfecta salud en su Real Palacio del Buen Retiro'; p. 248 imprint 'CON PRIVILEGIO. EN MADRID: En la Imprenta de la Gaceta, calle de Alcala' with distribution through Madrid, Cadiz, Sevilla and Murcia; p. 243, Genoa dateline of 10 July 1756 reporting sixteen to seventeen English warships anchored in the bay of Gibraltar on 24 June",NOT_APPLICABLE,MAPGEN-026 Iberian mainland safe-interior production
hsrc_ae63ba215fe7,bnd_alvara_1756_09_10_companhia_alto_douro,Alvara de 10 de Setembro de 1756: Instituicao da Companhia Geral da Agricultura das Vinhas do Alto Douro,"D. Jose I, King of Portugal; reproduction issued by the Biblioteca Nacional de Portugal (Lisboa 1982), series '2. Centenario da morte do Marques de Pombal', no. 13",1756,1756-1756,,Kingdom of Portugal,"Biblioteca Nacional Digital, copia publica.",https://purl.pt/41153,,PRIMARY_INSTRUMENT,CONTEMPORARY_TO_SNAPSHOT,BNP shelfmark pi-23761-p; the royal act of 10 September 1756 by which D. Jose I instituted the Companhia Geral da Agricultura das Vinhas do Alto Douro and regulated the demarcated Douro wine district,NOT_APPLICABLE,MAPGEN-026 Iberian mainland safe-interior production
hsrc_42e31fb64513,dumont_corps_universel_diplomatique_viii,"Jean Dumont, Corps universel diplomatique du droit des gens, tome VIII (Amsterdam/La Haye 1731)","Jean Dumont, baron de Carlscroon",1731,1713-1713,,European treaties,"Public domain; cited, not redistributed.",https://gallica.bnf.fr/ark:/12148/bpt6k1229594,,PRIMARY_INSTRUMENT,LATER_SCHOLARSHIP,"Traite de paix entre l'Espagne et la Grande-Bretagne, Utrecht, 13 juillet 1713, article X: the cession of the town, castle, port and fortifications of Gibraltar to the British crown",NOT_APPLICABLE,MAPGEN-026 Iberian mainland safe-interior production
hsrc_6d03c3d9c9f5,lynch_bourbon_spain_1700_1808,"John Lynch, Bourbon Spain 1700-1808 (Oxford, Blackwell, 1989)",John Lynch,1989,1700-1808,,Kingdom of Spain,Published academic reference used for fact verification only; no content redistributed.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,the reign of Fernando VI (1746-1759) and the government of the Spanish crown over the peninsular kingdoms,NOT_APPLICABLE,MAPGEN-026 Iberian mainland safe-interior production
hsrc_cc5fb2871250,maxwell_pombal_paradox_of_enlightenment,"Kenneth Maxwell, Pombal: Paradox of the Enlightenment (Cambridge University Press, 1995)",Kenneth Maxwell,1995,1750-1777,,Kingdom of Portugal,Published academic reference used for fact verification only; no content redistributed.,,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,the reign of D. Jose I (1750-1777) and the Pombaline administration of the Portuguese crown,NOT_APPLICABLE,MAPGEN-026 Iberian mainland safe-interior production
hsrc_ed325dc5ca37,colleccao_leis_decretos_alvaras_jose_i_tomo_i,"Collecçaõ das leis, decretos, e alvarás, que comprehende o feliz reinado del Rei Fidelíssimo D. José o I nosso senhor, Tomo I: desde o anno de 1750 até o de 1760","Portugal. Sovereign (1750-1777: José I); Lisboa, Officina de António Rodrigues Galhardo, Impressor da Serenissima Casa do Infantado",1797,1749-1760,,Kingdom of Portugal and the Algarves,"Public domain; John Carter Brown Library copy (call number b3290120) digitised on the Internet Archive. Cited, not redistributed.",https://archive.org/details/collecadasle00port,,PRIMARY_INSTRUMENT,CONTEMPORARY_COMPILATION,"Collecçaõ das leis, decretos, e alvarás ... do feliz reinado del Rei Fidelíssimo D. José o I, Tomo I, 'Desde o anno de 1750 até o de 1760', Lisboa, Officina de António Rodrigues Galhardo, 1797. Acts of 1756 dated BEFORE the snapshot: (a) Lei de 19 de Janeiro de 1756, given at Belém, declaring 'o modo, e forma certa, e invariável, que os Corregedores, e Ouvidores das Comarcas devem praticar nas Audiências das Chancellarias', published in the Chancellaria mór da Corte e Reino at Lisbon on 5 February 1756 and registered 'no livro das Leys a fol. 87 verso'; (b) Alvará em forma de Lei de 20 de Março de 1756 creating the Juiz Executor das Alfândegas do Assucar e Tabaco of Lisbon, published in the same Chancellaria on 6 April 1756, livro das Leys fol. 90; (c) Decreto de 15 de Junho de 1756, given at Belém, ordering the Mesa do Desembargo do Paço to send its orders 'a todas as terras da Provincia de Alemtejo, com a copia deste Decreto impressa, para que em todas se publique por edictaes', complied with at Lisbon on 22 June 1756; (d) Decreto de 13 de Julho de 1756, given at Belém, putting the Conselho da Fazenda to take the accounts of the crown's treasury officers with coercive jurisdiction",NOT_APPLICABLE,MAPGEN-027 Algarve constitutional audit and pre-snapshot authority hardening
hsrc_eba277c453c5,gaceta_de_madrid_1756_07_27_num30,"Gaceta de Madrid, núm. 30, martes 27 de julio de 1756, pp. 233-240","Imprenta de la Gaceta, calle de Alcalá, Madrid, con privilegio",1756,1756-1756,,Kingdom of Spain,"Colección histórica de la Gazeta, Boletín Oficial del Estado; free public access.",https://www.boe.es/gazeta/dias/1756/07/27/pdfs/GMD-1756-30.pdf,,PRIMARY_INSTRUMENT,CONTEMPORARY_TO_SNAPSHOT,"Gaceta de Madrid, núm. 30, martes 27 de julio de 1756, pp. 233-240. p. 239, Madrid dateline: 'Madrid 27. de Julio de 1756. LOS Reyes nuestros Señores experimentan perfecta salud en su Real Palacio del Buen-Retiro, de cuya felicidad logran igualmente en el de San Ildephonso la Reyna Viuda nuestra Señora, y el Señor Infante.' p. 240, royal appointments: 'El Rey se ha servido nombrar para una Plaza de Oidor de la Chancillería de Granada á D. Antonio Espinosa; y para la Fiscalía del Consejo de Navarra á D. Joseph Bueno', with further commissions to the Regimiento de Infantería Fixo de Ceuta and the Milicias de Guadix",NOT_APPLICABLE,MAPGEN-027 Algarve constitutional audit and pre-snapshot authority hardening
hsrc_73ed2e47e67a,oliveira_leitao_segundo_reino_coroa_portugal_2008,"Do Garb al-Ândalus ao «segundo reino» da «Coroa de Portugal»: território, política e identidade","André Oliveira-Leitão, Centro de História da Universidade de Lisboa",2008,1189-1910,,Kingdom of the Algarve,"Open-access institutional repository; cited, not redistributed.",https://repositorio.ulisboa.pt/bitstreams/77a9138d-0374-4bab-a77a-6ff1e3da9021/download,,ACADEMIC_REFERENCE,LATER_SCHOLARSHIP,"André Oliveira-Leitão, 'Do Garb al-Ândalus ao «segundo reino» da «Coroa de Portugal»: território, política e identidade', CLIO - Revista do Centro de História da Universidade de Lisboa, 16/17 (2008), pp. 69-104. Conclusion: the Algarve 'parece deter um título não mais que honorífico, meramente geográfico e desprovido de significado político-administrativo concreto ... tudo nele é idêntico ao restante Portugal, desde os foros, aos privilégios, à administração judicial'; 'na prática nada distinguisse Portugal e Algarve, em termos funcionais'; and it was indistinguishable in practice 'das demais comarcas e/ou correições em que Portugal se dividiu, para efeitos administrativos'. The paper contrasts this explicitly with the Crown of Aragon, whose parts each had their own Cortes before which the monarch had to be sworn, and notes that the Algarve never had autonomous representation in the national arms - while 'em diversas representações cartográficas estrangeiras da Península Ibérica dos séculos XVII e XVIII, surgem dois escudos de armas', which is exactly what the Le Rouge plate does",NOT_APPLICABLE,MAPGEN-027 Algarve constitutional audit and pre-snapshot authority hardening
hsrc_dfd04ab6388c,arquivo_municipal_tavira_corregedoria_comarca_tavira,"Corregedoria da Comarca de Tavira (PT MTVR CCTVR), 1762-1833",Arquivo Municipal de Tavira,2026,1536-1833,,Algarve (comarca of Tavira),"Public institutional finding aid; cited, not redistributed.",https://arquivo.cm-tavira.pt/index.php/corregedoria-da-comarca-de-tavira,,ARCHIVAL_FINDING_AID,ARCHIVAL_DESCRIPTION,"Arquivo Municipal de Tavira, fundo Corregedoria da Comarca de Tavira, reference code PT MTVR CCTVR, 1762-1833, 27 books and 1 box. Administrative history: the Algarve was divided into TWO ORDINARY COMARCAS, Lagos and Tavira, in 1536; the corregedor represented the Crown locally, his competences 'essencialmente judiciais' defined by the Ordenações Manuelinas and Filipinas, inquiring into local justice officials, taking cases from ordinary judges and verifying local elections. The series holds royal treasury orders and décima tax records",NOT_APPLICABLE,MAPGEN-027 Algarve constitutional audit and pre-snapshot authority hardening
hsrc_3be565a085e6,vaugondy_1762_carte_du_royaume_de_portugal_uc,"Carte du Royaume de Portugal, dressee d'apres les Cartes du Pays, par le S. Sanson Geogr. ord. du Roi; corrigee et assujettie aux observations astronomiques par le S. Robert de Vaugondy (Paris, 1762), 2 sheets","Nicolas Sanson; Gilles Robert de Vaugondy; published by the author, Quai de l'Horloge du Palais, Paris, avec privilege",1762,1762-1762,"two sheets of 41 x 52 cm; measured 588.3 px/deg longitude on the north sheet, 646.5 on the south, 798-799 px/deg latitude on both, i.e. about 1:600 000 against Le Rouge's 1:3 000 000","Kingdom of Portugal and the Algarves, with the Spanish frontier provinces","Creative Commons Attribution 4.0 International (CC BY 4.0), open access, Universidade de Coimbra Biblioteca Geral Digital. Commercial reuse permitted with attribution. Rasters GITIGNORED.",https://am.uc.pt/bib-geral/item/44829,data/raw/uc_coimbra_portugal_maps/UCBG-NC-0913.pdf and UCBG-NC-0914.pdf (GITIGNORED); acquisition.json records the hashes,BOUNDARY_AUTHORITY_CANDIDATE,AFTER_SNAPSHOT,"shelfmarks NC-913 (north sheet, Minho to Estremadura) and NC-914 (south sheet, Estremadura to the Algarve); page 1 rasters 4170x3285 and 4157x3188 px",ACQUIRED_AUDITED_GEOREFERENCE_DEFERRED,MAPGEN-027 bounded search for a larger-scale Portugal source
hsrc_6c4e77ef3081,delisle_albrizzi_1750_regno_di_portogallo_uc,Carta geografica del Regno di Portogallo,"Guillaume Delisle; published by Giovanni Battista Albrizzi, Venice",1750,1750-1750,"one sheet 39 x 33 cm, ca. 1:1 700 000",Kingdom of Portugal,"Creative Commons Attribution 4.0 International (CC BY 4.0), open access, Universidade de Coimbra Biblioteca Geral Digital. Raster GITIGNORED.",https://am.uc.pt/bib-geral/item/46805,data/raw/uc_coimbra_portugal_maps/UCBG-NC-0005.pdf (GITIGNORED),TEMPORAL_BRACKET_ONLY,BEFORE_SNAPSHOT,shelfmarks NC-5 and NC-700; raster 2195x2822 px,ACQUIRED_USED_AS_PRE_SNAPSHOT_BRACKET_ONLY,MAPGEN-027 bounded search for a larger-scale Portugal source
